start_country,end_country,start_lat,start_long,end_lat,end_long,count
Bangladesh,India,24,90,20,77,3789377
India,Pakistan,20,77,30,70,2512906
Turkey,Germany,39,35,51,9,2008979
Poland,Germany,52,20,51,9,1999975
Pakistan,India,30,70,20,77,1331659
Burkina Faso,Cote d'Ivoire,13,-2,8,-5,1252098
Algeria,France,28,3,46,2,1057135
India,Saudi Arabia,20,77,25,45,1007649
India,Bangladesh,20,77,24,90,936151
Indonesia,Malaysia,-5,120,2.5,112.5,885328
Poland,France,52,20,46,2,800387
Malaysia,Singapore,2.5,112.5,1.3667,103.8,725607
Nepal,India,28,84,20,77,649166
Pakistan,Saudi Arabia,30,70,25,45,638606
Italy,Germany,42.8333,12.8333,51,9,629291
India,Nepal,20,77,28,84,563571
Bulgaria,Turkey,43,25,39,35,480716
Bosnia and Herzegovina,Croatia,44,18,45.1667,15.5,459328
Mali,Cote d'Ivoire,17,-4,8,-5,444425
Jordan,Kuwait,31,36,29.3375,47.6581,434725
Albania,Greece,41,20,39,22,420838
Cote d'Ivoire,Burkina Faso,8,-5,13,-2,418038
Ukraine,Kazakhstan,49,32,48,68,402671
India,Sri Lanka,20,77,7,81,384789
Greece,Germany,39,22,51,9,367554
Bangladesh,Saudi Arabia,24,90,25,45,366007
Uganda,Kenya,1,32,1,38,351083
New Zealand,Australia,-41,174,-27,133,350498
China,Singapore,35,105,1.3667,103.8,348383
Italy,Switzerland,42.8333,12.8333,47,8,336726
China,Canada,35,105,60,-95,336302
China,Japan,35,105,36,138,335495
Paraguay,Argentina,-23,-58,-34,-64,331688
Ukraine,Poland,49,32,52,20,331462
Romania,Germany,46,25,51,9,324085
India,Canada,20,77,60,-95,313999
India,Oman,20,77,21,57,312053
Tunisia,France,34,9,46,2,310949
Italy,Canada,42.8333,12.8333,60,-95,310213
Poland,Belarus,52,20,53,28,291909
Indonesia,Saudi Arabia,-5,120,25,45,286600
Morocco,Italy,32,-5,42.8333,12.8333,286498
Albania,Italy,41,20,42.8333,12.8333,275300
Germany,Turkey,51,9,39,35,272995
Belarus,Ukraine,53,28,49,32,270751
Mozambique,South Africa,-18.25,35,-29,24,264572
Morocco,France,32,-5,46,2,262462
Germany,France,51,9,46,2,260042
Eritrea,Ethiopia,15,39,8,38,255018
Morocco,Spain,32,-5,40,-4,253173
Kazakhstan,Ukraine,48,68,49,32,245072
Uzbekistan,Ukraine,41,64,49,32,242390
Brazil,Japan,-10,-55,36,138,242246
Italy,France,42.8333,12.8333,46,2,236943
Nicaragua,Costa Rica,13,-85,10,-84,226582
Azerbaijan,Israel,40.5,47.5,31.5,34.75,225396
Croatia,Germany,45.1667,15.5,51,9,224721
Italy,Argentina,42.8333,12.8333,-34,-64,224155
China,Thailand,35,105,15,100,224153
Albania,Germany,41,20,51,9,221897
Chile,Argentina,-30,-71,-34,-64,219104
Italy,Australia,42.8333,12.8333,-27,133,216676
Poland,Ukraine,52,20,49,32,214578
Portugal,Brazil,39.5,-8,-10,-55,212917
Guadeloupe,France,16.25,-61.5833,46,2,208276
Italy,Belgium,42.8333,12.8333,50.8333,4,203181
Finland,Sweden,64,26,62,15,193364
Austria,Germany,47.3333,13.3333,51,9,189096
Morocco,Israel,32,-5,31.5,34.75,187826
Ukraine,Belarus,49,32,53,28,187293
Bosnia and Herzegovina,Germany,44,18,51,9,186646
Germany,Canada,51,9,60,-95,185745
Sri Lanka,India,7,81,20,77,185572
Ireland,France,53,-8,46,2,181039
Turkey,Austria,39,35,47.3333,13.3333,179638
Poland,Canada,52,20,60,-95,177013
Ecuador,Spain,-2,-77.5,40,-4,176212
Myanmar,Thailand,22,98,15,100,171759
Angola,Portugal,-12.5,18.5,39.5,-8,167578
Kazakhstan,Uzbekistan,48,68,41,64,164799
China,Australia,35,105,-27,133,162810
Ukraine,Uzbekistan,49,32,41,64,162266
Iraq,Kuwait,33,44,29.3375,47.6581,159233
South Africa,Mozambique,-29,24,-18.25,35,159113
Benin,Nigeria,9.5,2.25,10,8,157826
Bosnia and Herzegovina,Austria,44,18,47.3333,13.3333,152381
Spain,France,40,-4,46,2,151566
Portugal,Canada,39.5,-8,60,-95,151562
Portugal,Switzerland,39.5,-8,47,8,148832
Malawi,Zimbabwe,-13.5,34,-20,30,142229
Portugal,France,39.5,-8,46,2,141016
Colombia,Spain,4,-72,40,-4,140748
Romania,Israel,46,25,31.5,34.75,139278
Portugal,Germany,39.5,-8,51,9,138240
Spain,Argentina,40,-4,-34,-64,137084
India,France,20,77,46,2,136233
Spain,Germany,40,-4,51,9,133635
Romania,Hungary,46,25,47,20,133077
Martinique,France,14.6667,-61,46,2,132228
Guinea,Cote d'Ivoire,11,-10,8,-5,129807
Zimbabwe,South Africa,-20,30,-29,24,129558
Jordan,Saudi Arabia,31,36,25,45,127456
France,Spain,46,2,40,-4,126435
Lithuania,Germany,56,24,51,9,126069
Romania,France,46,25,46,2,123957
Ghana,Nigeria,8,-2,10,8,123169
Uruguay,Argentina,-33,-56,-34,-64,119169
Romania,Italy,46,25,42.8333,12.8333,119123
Jamaica,Canada,18.25,-77.5,60,-95,118874
Liberia,Guinea,6.5,-9.5,11,-10,117820
Germany,Switzerland,51,9,47,8,117410
Azerbaijan,Armenia,40.5,47.5,40,45,115689
Greece,Australia,39,22,-27,133,115342
Lesotho,South Africa,-29.5,28.5,-29,24,114095
France,Belgium,46,2,50.8333,4,113542
Belarus,Poland,53,28,52,20,113204
France,Germany,46,2,51,9,112171
Sri Lanka,Saudi Arabia,7,81,25,45,111001
Morocco,Belgium,32,-5,50.8333,4,110962
Mozambique,Malawi,-18.25,35,-13.5,34,110451
Uzbekistan,Kazakhstan,41,64,48,68,109989
Germany,Spain,51,9,40,-4,109454
Germany,Poland,51,9,52,20,108175
Belarus,Kazakhstan,53,28,48,68,107972
Germany,Australia,51,9,-27,133,107208
Uzbekistan,Israel,41,64,31.5,34.75,106193
Syrian Arab Republic,Saudi Arabia,35,38,25,45,105266
India,Singapore,20,77,1.3667,103.8,105187
Bangladesh,Oman,24,90,21,57,102360
Somalia,Ethiopia,10,49,8,38,101938
Germany,Austria,51,9,47.3333,13.3333,101883
Syrian Arab Republic,Kuwait,35,38,29.3375,47.6581,101634
Kuwait,Saudi Arabia,29.3375,47.6581,25,45,101301
India,Kuwait,20,77,29.3375,47.6581,100904
Thailand,Cambodia,15,100,13,105,100363
Sierra Leone,Guinea,8.5,-11.5,11,-10,97669
Mozambique,Zimbabwe,-18.25,35,-20,30,95036
India,Australia,20,77,-27,133,94110
France,Portugal,46,2,39.5,-8,93565
Peru,Argentina,-10,-76,-34,-64,91182
Azerbaijan,Ukraine,40.5,47.5,49,32,90753
Mali,Nigeria,17,-4,10,8,90128
Armenia,Azerbaijan,40,45,40.5,47.5,89898
Poland,Israel,52,20,31.5,34.75,89706
Sri Lanka,Canada,7,81,60,-95,89335
Spain,Switzerland,40,-4,47,8,88369
Afghanistan,Kuwait,33,65,29.3375,47.6581,88350
Turkey,Switzerland,39,35,47,8,87066
China,Germany,35,105,51,9,86998
Georgia,Israel,42,43.5,31.5,34.75,86254
Iraq,Israel,33,44,31.5,34.75,85613
Lithuania,Poland,56,24,52,20,85576
Croatia,Austria,45.1667,15.5,47.3333,13.3333,85547
Morocco,Germany,32,-5,51,9,84619
Argentina,Spain,-34,-64,40,-4,83803
Brazil,Paraguay,-10,-55,-23,-58,82987
Guyana,Canada,5,-59,60,-95,82057
China,Indonesia,35,105,-5,120,81323
Pakistan,Canada,30,70,60,-95,81236
Belarus,Latvia,53,28,57,25,79328
Finland,France,64,26,46,2,79086
South Africa,Australia,-29,24,-27,133,79021
France,Canada,46,2,60,-95,78675
Bangladesh,Malaysia,24,90,2.5,112.5,77856
Malaysia,Australia,2.5,112.5,-27,133,77737
Togo,Nigeria,8,1.1667,10,8,76914
Turkey,France,39,35,46,2,76505
Turkey,Saudi Arabia,39,35,25,45,76483
Lebanon,Kuwait,33.8333,35.8333,29.3375,47.6581,76410
Tunisia,Italy,34,9,42.8333,12.8333,75808
China,Malaysia,35,105,2.5,112.5,75458
China,Italy,35,105,42.8333,12.8333,75109
Georgia,Germany,42,43.5,51,9,75104
Ghana,Cote d'Ivoire,8,-2,8,-5,75072
Greece,Canada,39,22,60,-95,74725
Mozambique,Portugal,-18.25,35,39.5,-8,74227
Guinea,Senegal,11,-10,14,-14,74213
Cote d'Ivoire,Mali,8,-5,17,-4,74193
Pakistan,France,30,70,46,2,74137
Pakistan,Oman,30,70,21,57,73001
Burundi,Tanzania,-3.5,30,TZA,-6,72272
Nigeria,Cameroon,10,8,6,12,72187
Hungary,Germany,47,20,51,9,71830
Georgia,Ukraine,42,43.5,49,32,71015
Japan,Brazil,36,138,-10,-55,70837
Lebanon,Australia,33.8333,35.8333,-27,133,70359
Indonesia,Singapore,-5,120,1.3667,103.8,70008
Bosnia and Herzegovina,Slovenia,44,18,46,15,69279
Tajikistan,Uzbekistan,39,71,41,64,68534
Tunisia,Libya,34,9,25,17,67943
India,Malaysia,20,77,2.5,112.5,67701
Greece,Albania,39,22,41,20,67508
Kazakhstan,Israel,48,68,31.5,34.75,67080
Ethiopia,Israel,8,38,31.5,34.75,66967
Lebanon,Canada,33.8333,35.8333,60,-95,66923
Georgia,Armenia,42,43.5,40,45,66796
France,Switzerland,46,2,47,8,65553
Singapore,Malaysia,1.3667,103.8,2.5,112.5,65444
Rwanda,Uganda,-2,30,1,32,65400
